input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###jjjjjjj###,jjjöijj,äjkperj,0.004017,,,0,0
###ddddddd###,deddddd,dhkdrdk,0.010728,,,0,0
###yyyyyyy###,yyyjjiy,buypngy,0.007422,,,0,0
###rrrrrrr###,rrnurrr,rrbdvir,0.009306,,,0,0
###hhhhhhh###,hhhhhhh,hunehed,0.007731,,,0,0
###iiiiiii###,iiiiiii,ihiiijj,0.061910,,,0,0
###kkkkkkk###,kkkkkök,ktnjkjk,0.006839,,,0,0
###lllllll###,lllllll,lkblijö,0.004827,,,0,0
###uuuuuuu###,uuauuuu,bubpudu,0.010102,,,0,0
###ttttttt###,ttttttt,ruptolt,0.009802,,,0,0
###uuuuuuu###,uuauuuu,bubpudu,0.010102,,,0,0
###jjjjjjj###,jjjöijj,äjkperj,0.004017,,,0,0
###ttttttt###,ttttttt,ruptolt,0.009802,,,0,0
###eeeeeee###,eteeeee,äneseme,0.005986,,,0,0
###ooooooo###,ooooooo,nlbööoo,0.006037,,,0,0
###hhhhhhh###,hhhhhhh,hunehed,0.007731,,,0,0
###ööööööö###,öbäöööö,gäärjne,0.007369,,,0,0
###mmmmmmm###,mfmmmfm,meämvml,0.008907,,,0,0
###nnnnnnn###,nnnnnnn,pjnuuln,0.007301,,,0,0
###fffffff###,fffffff,apsgfff,0.018146,,,0,0
###ddddddd###,deddddd,dhkdrdk,0.010728,,,0,0
###eeeeeee###,eteeeee,äneseme,0.005986,,,0,0
###iiiiiii###,iiiiiii,ihiiijj,0.061910,,,0,0
###uuuuuuu###,uuauuuu,bubpudu,0.010102,,,0,0
###eeeeeee###,eteeeee,äneseme,0.005986,,,0,0
###nnnnnnn###,nnnnnnn,pjnuuln,0.007301,,,0,0
###uuuuuuu###,uuauuuu,bubpudu,0.010102,,,0,0
###jjjjjjj###,jjjöijj,äjkperj,0.004017,,,0,0
###iiiiiii###,iiiiiii,ihiiijj,0.061910,,,0,0
###iiiiiii###,iiiiiii,ihiiijj,0.061910,,,0,0
###fffffff###,fffffff,apsgfff,0.018146,,,0,0
###aaaaaaa###,aaapaaa,otanaua,0.039477,,,0,0
###ööööööö###,öbäöööö,gäärjne,0.007369,,,0,0
###iiiiiii###,iiiiiii,ihiiijj,0.061910,,,0,0
###jjjjjjj###,jjjöijj,äjkperj,0.004017,,,0,0
###sssssss###,ssssses,gsbgsäs,0.008976,,,0,0
###ggggggg###,gtngggg,aruggga,0.011194,,,0,0
###aaaaaaa###,aaapaaa,otanaua,0.039477,,,0,0
###fffffff###,fffffff,apsgfff,0.018146,,,0,0
###nnnnnnn###,nnnnnnn,pjnuuln,0.007301,,,0,0
###ooooooo###,ooooooo,nlbööoo,0.006037,,,0,0
###mmmmmmm###,mfmmmfm,meämvml,0.008907,,,0,0
###vvvvvvv###,vvdvhvv,vbeljvä,0.007922,,,0,0
###yyyyyyy###,yyyjjiy,buypngy,0.007422,,,0,0
###ooooooo###,ooooooo,nlbööoo,0.006037,,,0,0
###eeeeeee###,eteeeee,äneseme,0.005986,,,0,0
###lllllll###,lllllll,lkblijö,0.004827,,,0,0
###ppppppp###,ppnpppp,rlspgpp,0.024074,,,0,0
###ööööööö###,öbäöööö,gäärjne,0.007369,,,0,0
###ttttttt###,ttttttt,ruptolt,0.009802,,,0,0
###ppppppp###,ppnpppp,rlspgpp,0.024074,,,0,0
###jjjjjjj###,jjjöijj,äjkperj,0.004017,,,0,0
###ddddddd###,deddddd,dhkdrdk,0.010728,,,0,0
###vvvvvvv###,vvdvhvv,vbeljvä,0.007922,,,0,0
###kkkkkkk###,kkkkkök,ktnjkjk,0.006839,,,0,0
###ddddddd###,deddddd,dhkdrdk,0.010728,,,0,0
###rrrrrrr###,rrnurrr,rrbdvir,0.009306,,,0,0
###äääääää###,äääätöä,bänädjä,0.017100,,,0,0
###eeeeeee###,eteeeee,äneseme,0.005986,,,0,0
###jjjjjjj###,jjjöijj,äjkperj,0.004017,,,0,0
###iiiiiii###,iiiiiii,ihiiijj,0.061910,,,0,0
###kkkkkkk###,kkkkkök,ktnjkjk,0.006839,,,0,0
###nnnnnnn###,nnnnnnn,pjnuuln,0.007301,,,0,0
###yyyyyyy###,yyyjjiy,buypngy,0.007422,,,0,0
###kkkkkkk###,kkkkkök,ktnjkjk,0.006839,,,0,0
###sssssss###,ssssses,gsbgsäs,0.008976,,,0,0
###uuuuuuu###,uuauuuu,bubpudu,0.010102,,,0,0
###ööööööö###,öbäöööö,gäärjne,0.007369,,,0,0
###mmmmmmm###,mfmmmfm,meämvml,0.008907,,,0,0
###kkkkkkk###,kkkkkök,ktnjkjk,0.006839,,,0,0
###uuuuuuu###,uuauuuu,bubpudu,0.010102,,,0,0
###bbbbbbb###,bhbbbbb,bnbgbki,0.015266,,,0,0
###kkkkkkk###,kkkkkök,ktnjkjk,0.006839,,,0,0
###rrrrrrr###,rrnurrr,rrbdvir,0.009306,,,0,0
###aaaaaaa###,aaapaaa,otanaua,0.039477,,,0,0
###fffffff###,fffffff,apsgfff,0.018146,,,0,0
###jjjjjjj###,jjjöijj,äjkperj,0.004017,,,0,0
###fffffff###,fffffff,apsgfff,0.018146,,,0,0
###ooooooo###,ooooooo,nlbööoo,0.006037,,,0,0
###yyyyyyy###,yyyjjiy,buypngy,0.007422,,,0,0
###bbbbbbb###,bhbbbbb,bnbgbki,0.015266,,,0,0
###bbbbbbb###,bhbbbbb,bnbgbki,0.015266,,,0,0
###äääääää###,äääätöä,bänädjä,0.017100,,,0,0
###ggggggg###,gtngggg,aruggga,0.011194,,,0,0
###kkkkkkk###,kkkkkök,ktnjkjk,0.006839,,,0,0
###ppppppp###,ppnpppp,rlspgpp,0.024074,,,0,0
###fffffff###,fffffff,apsgfff,0.018146,,,0,0
###fffffff###,fffffff,apsgfff,0.018146,,,0,0
###nnnnnnn###,nnnnnnn,pjnuuln,0.007301,,,0,0
###uuuuuuu###,uuauuuu,bubpudu,0.010102,,,0,0
###aaaaaaa###,aaapaaa,otanaua,0.039477,,,0,0
###bbbbbbb###,bhbbbbb,bnbgbki,0.015266,,,0,0
###ppppppp###,ppnpppp,rlspgpp,0.024074,,,0,0
###rrrrrrr###,rrnurrr,rrbdvir,0.009306,,,0,0
###vvvvvvv###,vvdvhvv,vbeljvä,0.007922,,,0,0
###vvvvvvv###,vvdvhvv,vbeljvä,0.007922,,,0,0
###vvvvvvv###,vvdvhvv,vbeljvä,0.007922,,,0,0
###rrrrrrr###,rrnurrr,rrbdvir,0.009306,,,0,0
###lllllll###,lllllll,lkblijö,0.004827,,,0,0
###fffffff###,fffffff,apsgfff,0.018146,,,0,0
###ddddddd###,deddddd,dhkdrdk,0.010728,,,0,0
###ooooooo###,ooooooo,nlbööoo,0.006037,,,0,0
###bbbbbbb###,bhbbbbb,bnbgbki,0.015266,,,0,0
###eeeeeee###,eteeeee,äneseme,0.005986,,,0,0
###mmmmmmm###,mfmmmfm,meämvml,0.008907,,,0,0
###ooooooo###,ooooooo,nlbööoo,0.006037,,,0,0
###nnnnnnn###,nnnnnnn,pjnuuln,0.007301,,,0,0
###nnnnnnn###,nnnnnnn,pjnuuln,0.007301,,,0,0
###fffffff###,fffffff,apsgfff,0.018146,,,0,0
###sssssss###,ssssses,gsbgsäs,0.008976,,,0,0
###rrrrrrr###,rrnurrr,rrbdvir,0.009306,,,0,0
###fffffff###,fffffff,apsgfff,0.018146,,,0,0
###äääääää###,äääätöä,bänädjä,0.017100,,,0,0
###ööööööö###,öbäöööö,gäärjne,0.007369,,,0,0
###aaaaaaa###,aaapaaa,otanaua,0.039477,,,0,0
###eeeeeee###,eteeeee,äneseme,0.005986,,,0,0
###eeeeeee###,eteeeee,äneseme,0.005986,,,0,0
###ööööööö###,öbäöööö,gäärjne,0.007369,,,0,0
###rrrrrrr###,rrnurrr,rrbdvir,0.009306,,,0,0
###lllllll###,lllllll,lkblijö,0.004827,,,0,0
###jjjjjjj###,jjjöijj,äjkperj,0.004017,,,0,0
###ööööööö###,öbäöööö,gäärjne,0.007369,,,0,0
###jjjjjjj###,jjjöijj,äjkperj,0.004017,,,0,0
###eeeeeee###,eteeeee,äneseme,0.005986,,,0,0
###hhhhhhh###,hhhhhhh,hunehed,0.007731,,,0,0
###eeeeeee###,eteeeee,äneseme,0.005986,,,0,0
###kkkkkkk###,kkkkkök,ktnjkjk,0.006839,,,0,0
###ggggggg###,gtngggg,aruggga,0.011194,,,0,0
###aaaaaaa###,aaapaaa,otanaua,0.039477,,,0,0
###lllllll###,lllllll,lkblijö,0.004827,,,0,0
###ooooooo###,ooooooo,nlbööoo,0.006037,,,0,0
###ööööööö###,öbäöööö,gäärjne,0.007369,,,0,0
###yyyyyyy###,yyyjjiy,buypngy,0.007422,,,0,0
###lllllll###,lllllll,lkblijö,0.004827,,,0,0
###yyyyyyy###,yyyjjiy,buypngy,0.007422,,,0,0
###ööööööö###,öbäöööö,gäärjne,0.007369,,,0,0
###äääääää###,äääätöä,bänädjä,0.017100,,,0,0
###ttttttt###,ttttttt,ruptolt,0.009802,,,0,0
###bbbbbbb###,bhbbbbb,bnbgbki,0.015266,,,0,0
###fffffff###,fffffff,apsgfff,0.018146,,,0,0
###rrrrrrr###,rrnurrr,rrbdvir,0.009306,,,0,0
###uuuuuuu###,uuauuuu,bubpudu,0.010102,,,0,0
###ööööööö###,öbäöööö,gäärjne,0.007369,,,0,0
###ppppppp###,ppnpppp,rlspgpp,0.024074,,,0,0
###kkkkkkk###,kkkkkök,ktnjkjk,0.006839,,,0,0
###vvvvvvv###,vvdvhvv,vbeljvä,0.007922,,,0,0
###ggggggg###,gtngggg,aruggga,0.011194,,,0,0
###aaaaaaa###,aaapaaa,otanaua,0.039477,,,0,0
###aaaaaaa###,aaapaaa,otanaua,0.039477,,,0,0
###mmmmmmm###,mfmmmfm,meämvml,0.008907,,,0,0
###yyyyyyy###,yyyjjiy,buypngy,0.007422,,,0,0
###uuuuuuu###,uuauuuu,bubpudu,0.010102,,,0,0
